ISSUE_DATE;FLIGHT_DATE_LOC;PAX_TYPE;REVENUE_AMOUNT;ORIG_CITY_CODE;DEST_CITY_CODE;ROUTE_FLIGHT_TYPE;FFP_FLAG;SALE_TYPE
16.12.2021 0:00;17.01.2022 0:00;AD;460;IKT;MOW;ВВЛ;;OFFLINE
02.12.2021 0:00;11.01.2022 0:00;CHD;390;AAQ;OVB;ВВЛ;;ONLINE
25.11.2021 0:00;14.01.2022 0:00;INF;50;RTW;MOW;ВВЛ;;ONLINE
25.11.2021 0:00;02.01.2022 0:00;AD;480;LED;IKT;ВВЛ;;ONLINE
12.12.2021 0:00;05.01.2022 0:00;AD;480;OVB;SIP;ВВЛ;FFP;ONLINE
07.12.2021 0:00;14.01.2022 0:00;AD;450;MOW;YKS;ВВЛ;FFP;ONLINE
25.11.2021 0:00;20.01.2022 0:00;AD;300;UUS;OVB;ВВЛ;;ONLINE
03.12.2021 0:00;29.01.2022 0:00;AD;460;NER;OVB;ВВЛ;FFP;OFFLINE
02.12.2021 0:00;06.01.2022 0:00;AD;370;MOW;MMK;ВВЛ;;OFFLINE
02.12.2021 0:00;18.01.2022 0:00;AD;560;IKT;LED;ВВЛ;FFP;ONLINE
12.12.2021 0:00;04.01.2022 0:00;AD;960;MOW;AER;ВВЛ;;ONLINE
02.12.2021 0:00;08.01.2022 0:00;AD;450;OGZ;MOW;ВВЛ;FFP;ONLINE
07.12.2021 0:00;04.01.2022 0:00;AD;240;MOW;ULY;ВВЛ;FFP;ONLINE
02.12.2021 0:00;08.01.2022 0:00;AD;300;MOW;SVX;ВВЛ;;OFFLINE
29.11.2021 0:00;16.01.2022 0:00;AD;320;AER;MOW;ВВЛ;FFP;ONLINE
13.12.2021 0:00;12.01.2022 0:00;AD;420;OVB;UUD;ВВЛ;;ONLINE
25.11.2021 0:00;15.01.2022 0:00;AD;170;MOW;UFA;ВВЛ;FFP;OFFLINE
02.12.2021 0:00;13.01.2022 0:00;AD;330;MOW;CGN;МВЛ;;ONLINE
25.11.2021 0:00;11.01.2022 0:00;AD;220;MOW;ROV;ВВЛ;;OFFLINE
02.12.2021 0:00;03.01.2022 0:00;AD;530;NOZ;MOW;ВВЛ;FFP;ONLINE
07.12.2021 0:00;24.01.2022 0:00;AD;310;BOJ;MOW;МВЛ;FFP;ONLINE
13.12.2021 0:00;03.01.2022 0:00;AD;280;KRR;MOW;ВВЛ;;ONLINE
13.12.2021 0:00;12.01.2022 0:00;AD;260;KGD;MOW;ВВЛ;;ONLINE
19.01.2022 0:00;25.01.2022 0:00;AD;680;OVB;NER;ВВЛ;;OFFLINE
13.12.2021 0:00;19.01.2022 0:00;AD;170;SVX;MOW;ВВЛ;;ONLINE
